timestamp_utc,open,high,low,close,volume
2019-12-12T17:33:00+00:00,11743.25,11746.5,11742.25,11746.25,0
2019-12-12T17:34:00+00:00,11746.5,11749.0,11745.25,11748.75,0
2019-12-12T17:35:00+00:00,11748.5,11749.25,11745.75,11745.75,0
2019-12-12T17:36:00+00:00,11746.25,11749.0,11745.25,11748.5,0
2019-12-12T17:37:00+00:00,11748.0,11754.0,11748.0,11754.0,0
2019-12-12T17:38:00+00:00,11754.75,11755.75,11752.25,11754.75,0
2019-12-12T17:39:00+00:00,11754.5,11755.25,11754.0,11754.75,0
2019-12-12T17:40:00+00:00,11754.75,11755.25,11752.25,11752.75,0
2019-12-12T17:41:00+00:00,11754.25,11756.25,11751.75,11756.25,0
2019-12-12T17:42:00+00:00,11755.75,11755.75,11753.0,11753.0,0
2019-12-12T17:43:00+00:00,11753.0,11754.5,11752.25,11752.5,0
2019-12-12T17:44:00+00:00,11752.5,11754.25,11752.5,11753.5,0
2019-12-12T17:45:00+00:00,11753.5,11754.0,11752.75,11753.75,0
2019-12-12T17:46:00+00:00,11753.25,11756.5,11753.0,11753.0,0
2019-12-12T17:47:00+00:00,11753.25,11757.25,11753.25,11756.25,0
2019-12-12T17:48:00+00:00,11756.25,11757.5,11754.5,11755.25,0
2019-12-12T17:49:00+00:00,11755.75,11758.5,11755.75,11758.5,0
2019-12-12T17:50:00+00:00,11758.25,11758.5,11756.5,11756.75,0
2019-12-12T17:51:00+00:00,11757.5,11758.5,11757.25,11757.5,0
2019-12-12T17:52:00+00:00,11757.75,11757.75,11755.5,11755.5,0
2019-12-12T17:53:00+00:00,11756.75,11757.75,11753.25,11753.5,0
2019-12-12T17:54:00+00:00,11753.5,11755.25,11753.0,11754.5,0
2019-12-12T17:55:00+00:00,11755.75,11756.0,11753.5,11753.75,0
2019-12-12T17:56:00+00:00,11754.5,11755.75,11754.5,11755.25,0
2019-12-12T17:57:00+00:00,11754.25,11756.0,11754.25,11755.5,0
2019-12-12T17:58:00+00:00,11755.5,11755.5,11753.75,11754.75,0
2019-12-12T17:59:00+00:00,11755.75,11756.25,11754.0,11754.25,0
2019-12-12T18:00:00+00:00,11753.75,11753.75,11748.0,11749.75,0
2019-12-12T18:01:00+00:00,11749.25,11755.0,11749.0,11754.5,0
2019-12-12T18:02:00+00:00,11755.5,11755.5,11748.75,11749.75,0
2019-12-12T18:03:00+00:00,11750.25,11760.25,11750.25,11755.75,0
2019-12-12T18:04:00+00:00,11756.75,11760.75,11756.25,11758.25,0
2019-12-12T18:05:00+00:00,11758.5,11763.25,11756.75,11761.25,0
2019-12-12T18:06:00+00:00,11761.0,11768.0,11759.5,11765.25,0
