dt,is_long,mae,mfe,session,won_0.25,won_0.50,won_0.75,won_1.00,year
2025-03-28 11:40:00-07:00,False,0.7291666666666666,2.825,NY,True,True,True,True,2025
2025-03-30 20:05:00-07:00,False,0.963963963963964,2.4144144144144146,ASIA,True,True,True,True,2025
2025-03-31 09:20:00-07:00,True,0.14685314685314685,2.00979020979021,NY,True,True,True,True,2025
2025-04-02 12:35:00-07:00,True,0.31297709923664124,2.295801526717557,NY,True,True,True,True,2025
2025-04-15 19:40:00-07:00,False,0.7675675675675676,2.443243243243243,ASIA,True,True,True,True,2025
2025-04-16 00:50:00-07:00,False,1.0,0.46551724137931033,LONDON,True,False,False,False,2025
2025-04-21 01:15:00-07:00,False,0.49295774647887325,2.284507042253521,LONDON,True,True,True,True,2025
2025-04-25 02:40:00-07:00,False,0.46996466431095407,2.07773851590106,LONDON,True,True,True,True,2025
2025-05-14 11:20:00-07:00,True,1.0,0.4483695652173913,NY,True,False,False,False,2025
2025-05-28 02:25:00-07:00,False,1.0,0.11811023622047244,LONDON,False,False,False,False,2025
2025-06-01 16:55:00-07:00,False,1.0,1.8576271186440678,ASIA,True,True,True,True,2025
2025-06-01 19:50:00-07:00,False,0.04242424242424243,2.624242424242424,ASIA,True,True,True,True,2025
2025-06-02 08:15:00-07:00,True,0.25303030303030305,2.003030303030303,NY,True,True,True,True,2025
2025-06-03 12:30:00-07:00,True,0.9085173501577287,2.334384858044164,NY,True,True,True,True,2025
2025-06-06 11:55:00-07:00,True,1.0,0.045816733067729085,NY,False,False,False,False,2025
2025-06-12 10:35:00-07:00,True,1.0,0.05527638190954774,NY,False,False,False,False,2025
2025-06-12 12:20:00-07:00,True,1.0,0.0707070707070707,NY,False,False,False,False,2025
2025-06-17 09:35:00-07:00,True,1.0,0.10326086956521739,NY,False,False,False,False,2025
2025-06-18 06:00:00-07:00,False,1.0,1.335164835164835,LONDON,True,True,True,True,2025
2025-07-08 22:45:00-07:00,False,1.0,1.691358024691358,ASIA,True,True,True,True,2025
2025-07-15 09:55:00-07:00,False,0.9491525423728814,2.0508474576271185,NY,True,True,True,True,2025
2025-07-15 12:55:00-07:00,False,0.17119565217391305,2.0815217391304346,NY,True,True,True,True,2025
2025-07-23 01:45:00-07:00,True,1.0,0.5,LONDON,True,True,False,False,2025
2025-07-28 10:20:00-07:00,False,1.0,0.5159574468085106,NY,True,True,False,False,2025
2025-08-01 06:00:00-07:00,False,0.4927007299270073,2.076642335766423,LONDON,True,True,True,True,2025
2025-08-06 15:20:00-07:00,True,0.06802721088435375,2.0816326530612246,ASIA,True,True,True,True,2025
2025-08-08 12:20:00-07:00,True,1.0,0.10833333333333334,NY,False,False,False,False,2025
2025-08-12 12:55:00-07:00,True,0.4625,2.0375,NY,True,True,True,True,2025
2025-08-21 01:05:00-07:00,True,1.0,0.13533834586466165,LONDON,False,False,False,False,2025
2025-08-29 05:05:00-07:00,False,1.0,0.3238095238095238,LONDON,True,False,False,False,2025
2025-09-01 22:05:00-07:00,False,0.9587628865979382,2.0412371134020617,ASIA,True,True,True,True,2025
2025-09-04 01:10:00-07:00,True,1.0,0.9556650246305419,LONDON,True,True,True,False,2025
2025-09-05 01:15:00-07:00,True,1.0,1.196078431372549,LONDON,True,True,True,True,2025
2025-09-09 07:05:00-07:00,False,1.0,1.073643410852713,NY,True,True,True,True,2025
2025-09-15 05:45:00-07:00,True,0.2912621359223301,2.262135922330097,LONDON,True,True,True,True,2025
2025-09-15 16:20:00-07:00,True,0.7361111111111112,2.5416666666666665,ASIA,True,True,True,True,2025
2025-09-17 11:40:00-07:00,False,1.0,0.4129353233830846,NY,True,False,False,False,2025
2025-09-22 23:50:00-07:00,True,1.0,0.34782608695652173,ASIA,True,False,False,False,2025
2025-09-23 16:55:00-07:00,False,1.0,1.911764705882353,ASIA,True,True,True,True,2025
2025-10-01 12:30:00-07:00,True,0.5040650406504065,2.008130081300813,NY,True,True,True,True,2025
2025-10-09 08:25:00-07:00,False,1.0,0.7170263788968825,NY,True,True,False,False,2025
2025-10-10 07:00:00-07:00,True,1.0,0.23828125,NY,False,False,False,False,2025
2025-10-21 16:05:00-07:00,False,1.0,1.509433962264151,ASIA,True,True,True,True,2025
2025-10-21 23:40:00-07:00,True,1.0,0.34057971014492755,ASIA,True,False,False,False,2025
2025-10-23 21:15:00-07:00,True,0.23275862068965517,2.1379310344827585,ASIA,True,True,True,True,2025
2025-10-24 09:50:00-07:00,True,1.0,0.43283582089552236,NY,True,False,False,False,2025
2025-10-29 08:30:00-07:00,False,0.6419213973799127,2.3668122270742358,NY,True,True,True,True,2025
2025-10-30 17:15:00-07:00,True,0.07692307692307693,2.0,ASIA,True,True,True,True,2025
